# gradT_bin_center   <phi|gradT>   count
    3.8750000000E+01      0.0000000000E+00      0.0000000000E+00
    3.9250000000E+01      0.0000000000E+00      0.0000000000E+00
    3.9750000000E+01      0.0000000000E+00      0.0000000000E+00
    4.0250000000E+01      0.0000000000E+00      0.0000000000E+00
    4.0750000000E+01      0.0000000000E+00      0.0000000000E+00
    4.1250000000E+01      0.0000000000E+00      0.0000000000E+00
    4.1750000000E+01      0.0000000000E+00      0.0000000000E+00
    4.2250000000E+01      0.0000000000E+00      0.0000000000E+00
    4.2750000000E+01      0.0000000000E+00      0.0000000000E+00
    4.3250000000E+01      0.0000000000E+00      0.0000000000E+00
    4.3750000000E+01      0.0000000000E+00      0.0000000000E+00
    4.4250000000E+01      0.0000000000E+00      0.0000000000E+00
    4.4750000000E+01      0.0000000000E+00      0.0000000000E+00
    4.5250000000E+01      0.0000000000E+00      0.0000000000E+00
    4.5750000000E+01      0.0000000000E+00      0.0000000000E+00
    4.6250000000E+01      0.0000000000E+00      0.0000000000E+00
    4.6750000000E+01      0.0000000000E+00      0.0000000000E+00
    4.7250000000E+01      0.0000000000E+00      0.0000000000E+00
    4.7750000000E+01      0.0000000000E+00      0.0000000000E+00
    4.8250000000E+01      0.0000000000E+00      0.0000000000E+00
    4.8750000000E+01      0.0000000000E+00      0.0000000000E+00
    4.9250000000E+01      0.0000000000E+00      0.0000000000E+00
    4.9750000000E+01      0.0000000000E+00      0.0000000000E+00
